Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
538,Human_alternative,0,,Elegia sp1,,,Elegia tall (2007/411),0,0,Elegia tall (2007/411),Elegia,,0.4,Accepted,Elegia,,Restionaceae,tpl, [Partial match] ,
711,Original,0,,,,,fern 2 2007/367,0,0,fern 2 2007/367,Feea,,0.4,Accepted,Feea,,Hymenophyllaceae,tpl, ,
712,Original,0,,,,,Fern sp,0,0,Fern sp,Feea,,0.4,Accepted,Feea,,Hymenophyllaceae,tpl, ,
713,Original,0,,,,,Fern sp 2007/146,0,0,Fern sp 2007/146,Feea,,0.4,Accepted,Feea,,Hymenophyllaceae,tpl, ,
714,Original,0,,,,,Fern sp1,0,0,Fern sp1,Feea,,0.4,Accepted,Feea,,Hymenophyllaceae,tpl, ,
967,Original,0,,,,,Iridaceae bulb 2007/57,0,0,Iridaceae bulb 2007/57,Iridaceae,,0.4,Accepted,Iridaceae,,,tpl;usda, [Partial match] ,
1218,Human_alternative,0,,Moraea sp1,,,Moraea big fruit,0,0,Moraea big fruit,Moraea,,0.4,Accepted,Moraea,,Iridaceae,tpl;usda, [Partial match] ,
1342,Original,0,,,,,Oxalis legume sp,0,0,Oxalis legume sp,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1343,Original,0,,,,,Oxalis legume sp.,0,0,Oxalis legume sp.,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1347,Original,0,,,,,oxalis pink leaf,0,0,oxalis pink leaf,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1348,Original,0,,,,,Oxalis pink leaf,0,0,Oxalis pink leaf,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1363,Original,0,,,,,Oxalis sp pink,0,0,Oxalis sp pink,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1376,Original,0,,,,,oxalis thin leaf,0,0,oxalis thin leaf,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1377,Original,0,,,,,Oxalis thin leaf,0,0,Oxalis thin leaf,Oxalis,,0.4,Accepted,Oxalis,,Oxalidaceae,tpl, [Partial match] ,
1451,Human_alternative,0,,Pentameris sp1,,,Pentameris tiny blom,0,0,Pentameris tiny blom,Pentameris,,0.4,Accepted,Pentameris,,Poaceae,tpl, [Partial match] ,
1452,Human_alternative,0,,Pentameris sp1,,,Pentameris tiny flower,0,0,Pentameris tiny flower,Pentameris,,0.4,Accepted,Pentameris,,Poaceae,tpl, [Partial match] ,
1477,Human_alternative,0,,Pentameris sp1,,,Pentashistis minute 2007/126,0,0,Pentashistis minute 2007/126,Pentaschistis,,0.4,Accepted,Pentaschistis,,Poaceae,tpl, [Partial match] ,
1818,Human_alternative,0,,Stoebe sp1,,,Stoebe grey 2007/80,0,0,Stoebe grey 2007/80,Stoebe,,0.4,Accepted,Stoebe,L.,Asteraceae,gcc, [Partial match] ,urn:lsid:compositae.org:names:96469ABD-40F1-4761-9B6C-355A0B37E6F6
1836,Human_alternative,0,,Struthiola sp1,,,Struthiola tiny yellow2007/168,0,0,Struthiola tiny yellow2007/168,Struthiola,,0.4,Accepted,Struthiola,,Thymelaeaceae,tpl, [Partial match] ,
1876,Human_alternative,0,,Tetraria sp1,thermalis (big) or eximia (small),,Tetraria broadleaf 2007/31,0,0,Tetraria broadleaf 2007/31,Tetraria,,0.4,Accepted,Tetraria,,Cyperaceae,tpl, [Partial match] ,
400,Original,0,,,,,cuisti capros,0,0,cuisti capros,Cuiete,,0.4,No opinion,,,,tropicos, [Partial match] ,
969,Human_alternative,0,,Restio sp1,Restio tenuissimus?,,Ischryolepis tufted 2007/382,0,0,Ischryolepis tufted 2007/382,Ischyrolepis,,0.4,No opinion,,,,tpl, [Partial match] ,
979,Human_alternative,0,,Restio sp2,,,Ischyrolepis mottled 2007/133,0,0,Ischyrolepis mottled 2007/133,Ischyrolepis,,0.4,No opinion,,,,tpl, [Partial match] ,
989,Human_alternative,0,,Restio sp1,Restio tenuissimus?,,Ischyrolepis tufted 2007/382,0,0,Ischyrolepis tufted 2007/382,Ischyrolepis,,0.4,No opinion,,,,tpl, [Partial match] ,
1051,Human_alternative,1,,Protea lepidocarpodendron,,,Lepido carpodendron,0,0,Lepido carpodendron,Lepia,,0.4,No opinion,,,,tpl, [Partial match] ,
822,Original,0,,,,,Grass 1 2007/349,0,0,Grass 1 2007/349,Grias,,0.42,Accepted,Grias,,Lecythidaceae,tpl, ,
823,Original,0,,,,,Grass 1 2007/405,0,0,Grass 1 2007/405,Grias,,0.42,Accepted,Grias,,Lecythidaceae,tpl, ,
825,Original,0,,,,,Grass sp,0,0,Grass sp,Grias,,0.42,Accepted,Grias,,Lecythidaceae,tpl, ,
223,Original,0,,,,,bulb sp,0,0,bulb sp,Bulga,,0.42,No opinion,,,,tpl, ,
224,Original,0,,,,,Bulb sp,0,0,Bulb sp,Bulga,,0.42,No opinion,,,,tpl, ,
225,Original,0,,,,,Bulb sp 3,0,0,Bulb sp 3,Bulga,,0.42,No opinion,,,,tpl, ,
226,Original,0,,,,,Bulb sp1,0,0,Bulb sp1,Bulga,,0.42,No opinion,,,,tpl, ,
227,Original,0,,,,,Bulb sp2,0,0,Bulb sp2,Bulga,,0.42,No opinion,,,,tpl, ,
2037,Original,0,,,,,Unknown bulb,0,0,Unknown bulb,Bulga,,0.42,No opinion,,,,tpl, ,
2038,Original,0,,,,,unknown bulb  1,0,0,unknown bulb  1,Bulga,,0.42,No opinion,,,,tpl, ,
2039,Original,0,,,,,unknown bulb 2,0,0,unknown bulb 2,Bulga,,0.42,No opinion,,,,tpl, ,
175,Human_alternative,0,,Avena sp1,,1,Avena long horn 2007/162,0,0,Avena long horn 2007/162,Avena longa,,0.42,Synonym,Helictotrichon longum,(Stapf) Schweick.,Poaceae,tpl;tropicos, [Partial match] ,
1335,Human_alternative,0,,Othonna sp1,,,Othonna proteiod,0,0,Othonna proteiod,Ottonia,,0.44,Accepted,Ottonia,,Piperaceae,tpl, [Partial match] ,
1337,Human_alternative,1,,Othonna quinquedentata,,,Othonna quinquidenta,0,0,Othonna quinquidenta,Ottonia,,0.44,Accepted,Ottonia,,Piperaceae,tpl, [Partial match] ,
1699,Human_alternative,1,,Senecio umbellatus,,,Scancio umbelatus,0,0,Scancio umbelatus,Scandia,,0.44,Accepted,Scandia,,Apiaceae,tpl, [Partial match] ,
323,Original,0,,,,,Cinerea geifolia,0,0,Cinerea geifolia,Cerea,,0.44,No opinion,,,,tpl, [Partial match] ,
162,Original,0,,,,,Ast shrub,0,0,Ast shrub,Asta,,0.46,Accepted,Asta,,Brassicaceae,tpl, [Partial match] ,
1501,Human_alternative,1,,Ficinia bulbosa,,,Phycinia bulbosa,0,0,Phycinia bulbosa,Photinia,,0.46,Accepted,Photinia,,Rosaceae,tpl;usda, [Partial match] ,
1521,Human_alternative,1,1,Cyphia digitata,,,Physcia digitata?,0,0,Physcia digitata?,Physaria,,0.46,Accepted,Physaria,,Brassicaceae,tpl;usda, [Partial match] ,
1822,Human_alternative,1,,Struthiola ciliata,,,Straethiolia cilleata,0,0,Straethiolia cilleata,Struthiola,,0.46,Accepted,Struthiola,,Thymelaeaceae,tpl, [Partial match] ,
304,Human_alternative,0,,Chrysocoma sp1,,,Chorysa coma,0,0,Chorysa coma,Chorisia,,0.46,No opinion,,,,tpl, [Partial match] ,
327,Human_alternative,0,,Satyrium sp1,?,,Citirium phycorni,0,0,Citirium phycorni,Camirium,,0.46,No opinion,,,,tpl, [Partial match] ,
1276,Human_alternative,0,,Muraltia sp2,Muraltia? No vanbergii?,,Myraltea vanbergia,0,0,Myraltea vanbergia,Maltea,,0.46,No opinion,,,,tpl;usda, [Partial match] ,
916,Human_alternative,0,,Hermannia sp1,no chiromia?,,Herminia chiromia,0,0,Herminia chiromia,Hermannia,,0.47,Accepted,Hermannia,,Malvaceae,tpl;usda, [Partial match] ,
2034,Human_alternative,1,,Tetraria sylvatica,,,Tritreria sylvatica,0,0,Tritreria sylvatica,Trimeria,,0.47,Accepted,Trimeria,,Salicaceae,tpl, [Partial match] ,
673,Original,0,,,,,Ericoid shrub,0,0,Ericoid shrub,Ericoides,,0.47,No opinion,,,,tpl, [Partial match] ,
913,Human_alternative,0,,Haemanthus sp1,no protinius?,,Hermanthus protinius,0,0,Hermanthus protinius,Herreanthus,,0.48,Accepted,Herreanthus,,Aizoaceae,tpl, [Partial match] ,
