spcID	Status	Origin
Persicaria_lapathifolia_(L.)_S.F._Gray	Alien	SAPIA
Plantago_lanceolata_L.	Alien	SAPIA
Plantago_virginica_L.	Alien	SAPIA
Richardia_humistrata_(Cham._&_Schlechtd.)_Steud.	Alien	SAPIA
Rumex_crispus_L.	Alien	SAPIA
Sonchus_oleraceus_L.	Alien	SAPIA
Ficus_macrophylla_Desf._ex_Pers.	Alien	SAPIA
Tabebuia_chrysotricha_(Mart._ex_DC.)_Standl.	Alien	SAPIA
Lythrum_salicaria_L.	Alien	SAPIA
Ageratina_riparia_(Regel)_R.King_&_H.Robinson	Alien	SAPIA
Carica_papaya_L.	Alien	SAPIA
Conyza_bonariensis_(L.)_Cronq.	Alien	SAPIA
Bauhinia_variegata_L.	Alien	SAPIA
Moringa_oleifera_Lam.	Alien	SAPIA
Acorus_calamus_L.	Alien	SAPIA
Melaleuca_hypericifolia_Sm.	Alien	SAPIA
Callistemon_rigidus_R.Br.	Alien	SAPIA
Callistemon_glaucus_(Bonpl.)_Sweet	Alien	SAPIA
Opuntia_stricta_X_humifusa?	Alien	SAPIA
Mikania_sp._?	Alien	SAPIA
Acanthospermum_hispidum_DC.	Alien	SAPIA
Apium_graveolens_L.	Alien	SAPIA
Briza_maxima_L.	Alien	SAPIA
Canna_glauca_L.	Alien	SAPIA
Dysphania_ambrosioides_(L.)_Mosyakin_&_Clemants	Alien	SAPIA
Conyza_primulifolia_(Lam.)_Cuatrec._&_Lourteig	Alien	SAPIA
Lepidium_didymum_L.	Alien	SAPIA
Eragrostis_pilosa_(L.)_Beauv.	Alien	SAPIA
Eugenia_uniflora_L.	Alien	SAPIA
Malvastrum_coromandelianum_(L.)_Garcke	Alien	SAPIA
Cyperus_cyperoides_(L.)_Kuntze	Alien	SAPIA
Olyra_latifolia_L.	Alien	SAPIA
Paspalum_urvillei_Steud.	Alien	SAPIA
Plantago_major_L.	Alien	SAPIA
Polypogon_monspeliensis_(L.)_Desf.	Alien	SAPIA
Sigesbeckia_orientalis_L.	Alien	SAPIA
Torilis_arvensis_(Huds.)_Link.	Alien	SAPIA
Verbena_rigida_Spreng._var._rigida	Alien	SAPIA
Adiantum_raddianum_Presl	Alien	SAPIA
Begonia_cucullata_Willd.	Alien	SAPIA
Coix_lacryma-jobi_L.	Alien	SAPIA
Lygodium_japonicum_Swartz	Alien	SAPIA
Pityrogramma_calomelanos_(L.)_Link	Alien	SAPIA
Maireana_brevifolia_(R.Br.)P.G._Wilson	Alien	SAPIA
